GeneName	H_PBS_1	H_PBS_2	H_PBS_3	H_Mono_1	H_Mono_2	H_Mono_3	H_PFF_1	H_PFF_2	H_PFF_3	S_PBS_1	S_PBS_2	S_PBS_3	S_Mono_1	S_Mono_2	S_Mono_3	S_PFF_1	S_PFF_2	S_PFF_3
GPBP1L1	1493	943	1197	1105	950	1198	1109	1196	721	906	1096	1090	1393	890	1021	1379	555	719
NAE1	1128	760	900	828	795	984	1065	946	558	773	952	986	1250	795	974	1234	555	699
TMEM69	509	309	401	365	285	389	421	404	249	308	322	351	462	284	338	429	166	227
ADGRG5	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0
DRC7	1	0	2	1	3	3	2	5	1	19	17	16	20	12	18	19	3	17
ACE	0	0	6	4	2	0	1	2	0	104	105	141	146	102	142	182	84	95
TEPP	41	21	33	23	23	26	38	22	22	27	23	29	32	13	22	23	6	15
UROC1	0	0	0	4	1	0	0	1	0	9	6	10	6	3	7	7	5	3
EFCAB14	1706	1116	1358	1298	1263	1405	923	1414	882	569	634	640	836	560	679	851	327	487
SPON2	16	6	5	7	6	9	13	7	6	106	82	115	126	56	77	153	67	72
CHCHD6	319	181	224	234	158	230	386	263	151	147	154	191	253	160	157	251	88	106
CTBP1	2372	1706	1906	1873	1669	1862	2209	1863	1236	2083	2395	2540	3075	2027	2187	3086	1417	1888
LRRC36	0	1	0	0	0	0	1	1	0	31	41	42	50	27	41	61	21	31
ANKRD18CP	1	0	0	0	0	0	0	0	1	5	7	4	10	3	2	3	3	2
TPPP3	24	14	19	11	12	17	25	18	8	182	183	213	279	128	194	258	97	135
ZDHHC1	14	5	5	7	12	3	6	8	3	207	241	257	327	174	240	305	146	198
ATP6V0D1	1007	722	815	786	753	859	1041	849	599	816	1006	1018	1301	906	823	1147	599	732
AGRP	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	1
ZFYVE28	60	45	68	48	30	46	50	50	35	43	55	51	56	34	51	60	30	45
CARMIL2	46	43	46	32	23	46	55	49	34	273	318	354	486	295	338	469	200	295
C16orf86	9	13	7	7	7	8	13	8	3	42	53	52	55	32	50	75	24	37
PIP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM131B	14	11	9	9	8	9	16	13	9	439	397	526	584	368	439	592	301	381
RGS12	501	321	405	361	330	352	368	369	288	872	960	1045	1298	788	961	1310	633	818
PSKH1	320	237	211	227	219	241	255	264	155	819	900	933	1149	772	867	1071	526	733
ZYX	140	143	174	494	145	156	713	144	111	45	43	161	229	84	383	142	32	112
ABR	51	16	11	73	12	9	6	44	59	10	28	25	7	111	6	11	18	5
TCAF2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYPD5	10	5	3	7	3	3	8	4	2	5	8	9	16	8	9	7	5	5
CCDC117	829	552	626	566	532	628	552	663	400	390	478	501	606	419	477	596	274	388
ZNF230	93	67	83	73	54	64	96	82	42	143	211	193	211	148	157	198	81	119
CCDC107	238	151	187	185	221	211	329	215	127	124	138	142	201	139	151	187	68	112
ZNF222	40	21	31	34	23	37	55	24	21	135	235	151	188	118	152	187	105	106
NPR2	550	382	461	415	347	427	385	392	267	377	467	467	529	338	407	576	255	313
ZNF890P	0	0	0	0	0	0	0	1	2	1	8	7	6	7	9	4	3	2
ZNF221	23	16	22	21	18	25	1	18	12	31	49	44	64	41	39	53	37	38
ZNF233	15	8	12	5	9	10	15	5	1	126	151	122	124	84	71	121	62	83
ZNF235	59	22	49	39	34	46	48	33	30	372	510	432	541	346	407	557	250	320
GNE	1193	869	995	920	822	1117	917	1038	660	731	943	903	1023	706	816	1072	520	646
TNFRSF13C	64	45	42	47	32	44	61	40	30	17	20	16	20	20	19	31	20	23
OR3A3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ARHGAP35	2518	1745	1978	1850	1593	1976	1364	1934	1267	2926	3255	3482	4209	2618	3153	4056	1867	2461
PTGIR	14	5	12	30	18	18	19	15	4	45	81	79	109	60	93	107	51	66
CALM3	5934	4204	4868	4366	4241	4995	5657	5068	3450	3120	3356	3821	4739	3175	3384	4390	2118	2620
DFFA	2661	1938	2179	1993	1842	2400	2245	2316	1318	1243	1463	1550	1916	1248	1448	2010	865	1136
CCDC28B	71	39	55	47	57	59	102	52	47	252	266	240	394	245	258	325	149	188
IQCC	176	132	150	145	139	135	239	160	91	76	89	99	112	101	97	123	71	64
TMEM234	212	138	158	167	137	161	181	176	87	128	169	181	266	138	155	243	94	131
BSDC1	1178	816	979	899	844	1004	824	938	589	1719	2055	2146	2407	1590	1780	2413	1052	1469
ZBTB8A	111	88	85	68	72	82	115	76	46	114	123	131	192	113	135	174	78	93
ATAD3B	1145	842	876	943	851	912	1181	902	618	648	703	771	1172	696	845	1237	526	686
SSU72	1492	1041	1173	1111	935	1168	1530	1188	766	1110	1263	1365	1602	1245	1308	1625	805	1039
UBE2J2	1309	850	956	946	862	935	1248	1022	659	779	938	1006	1297	895	981	1254	679	815
ZNF362	299	252	278	282	258	281	294	256	171	911	1051	1127	1279	784	974	1280	595	824
FNDC5	48	25	39	34	23	32	32	39	26	1064	1235	1225	1316	794	892	1128	531	680
CPAMD8	13	8	11	5	6	10	9	11	10	14	28	38	32	12	17	28	12	27
NR2F6	303	219	250	253	233	282	439	279	162	628	683	760	991	668	857	1082	520	669
ANKLE1	12	13	11	9	16	20	19	14	4	153	217	173	230	169	213	258	118	151
MIX23	355	213	277	233	265	316	365	299	175	119	163	135	200	145	163	214	96	90
VMA21	1306	883	1019	960	742	1024	933	1033	588	594	680	731	981	704	798	971	444	513
KALRN	537	373	455	459	449	477	504	482	278	795	861	873	1072	595	787	1044	465	620
CILP2	6	1	6	7	3	0	2	4	5	229	282	288	339	229	243	382	164	208
FAM86C2P	5	3	9	7	3	3	1	9	1	2	1	0	3	3	2	12	4	7
ABCG1	0	0	0	1	0	0	0	1	0	87	106	118	127	75	117	125	72	80
TFF3	0	0	3	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0
TFF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPRSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBASH3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSPH1	0	0	1	0	1	0	0	1	0	7	16	24	19	18	22	19	14	12
SLC37A1	26	30	20	39	29	29	24	21	18	208	213	251	369	212	232	309	143	187
PDE9A	0	0	0	0	0	0	0	0	0	494	618	675	994	633	695	965	425	572
WDR4	553	342	415	426	377	454	266	391	273	209	178	221	327	225	250	287	147	194
NDUFV3	826	555	658	661	593	705	939	722	403	361	397	444	542	341	372	549	271	303
PKNOX1	447	317	388	323	328	378	404	346	233	520	673	650	818	528	595	776	382	485
CBS	350	211	405	155	158	155	491	203	107	129	166	150	321	113	259	205	142	112
U2AF1	138	324	186	276	180	103	110	132	61	496	201	418	168	79	166	78	237	100
CRYAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSF2BP	31	13	21	20	23	17	15	16	12	7	13	9	9	7	5	17	4	12
RRP1B	2376	1537	1900	1972	1645	1972	1404	1892	1244	759	853	931	1345	831	1027	1198	566	750
PDXK	2461	1679	1954	2145	1785	1975	2428	2011	1236	1099	1148	1214	1569	978	1113	1607	727	976
G6PD	1694	1215	1356	1380	1218	1425	1745	1392	965	1874	2038	2087	2707	1939	1937	2325	1264	1574
CSTB	961	619	700	744	696	764	1098	774	495	485	549	598	727	494	574	767	331	441
RRP1	1122	749	984	960	832	1059	1391	929	583	371	407	436	624	455	427	576	305	348
AGPAT3	1735	1259	1372	1422	1272	1433	1340	1426	940	1493	1671	1806	2254	1508	1713	2292	1011	1376
TRAPPC10	1262	849	965	977	853	988	585	973	610	672	819	814	1060	691	801	970	463	669
GAB3	3	1	2	3	3	4	5	4	0	14	20	14	27	22	12	16	8	12
GATD3	97	62	81	101	52	88	117	96	58	128	150	125	199	209	152	186	72	107
ICOSLG	14	11	10	10	9	7	5	6	12	0	0	0	4	4	1	2	4	3
AIRE	6	5	3	3	3	2	2	4	4	4	0	5	24	12	19	19	8	4
CFAP410	300	183	256	233	228	260	304	200	144	189	230	261	295	205	234	313	131	194
ZNF66	40	29	30	20	25	40	17	28	33	6	17	13	19	7	13	12	12	8
LRRC3	461	353	411	380	338	384	351	362	240	293	321	336	408	271	309	408	180	253
ITGB2	6	2	2	2	3	1	0	1	0	9	6	16	14	13	14	20	3	12
SLX9	602	472	487	578	439	576	971	606	332	188	251	209	309	218	223	328	144	228
RALGDS	191	106	125	135	104	136	128	119	71	603	676	749	985	551	711	994	464	592
FTCD	12	9	4	7	8	5	9	8	5	10	13	11	10	9	16	12	12	6
SPATC1L	10	45	2	1	3	11	44	2	3	1	0	2	5	1	1	1	1	0
LSS	431	287	289	310	298	376	196	280	210	204	184	231	386	184	239	293	128	216
VAV2	1505	1066	1237	1156	1052	1200	1074	1278	834	1200	1327	1457	1675	1120	1252	1632	844	1026
MCM3AP	2837	1800	2111	2254	1990	2158	1773	2177	1395	2180	2415	2568	3203	2059	2412	3197	1508	1992
C21orf58	492	329	362	351	320	311	343	380	262	278	308	325	495	264	349	515	226	288
PCNT	3178	2141	2527	2368	2140	2380	1861	2432	1549	1187	1396	1556	1978	1138	1467	1902	887	1121
DIP2A	2322	1618	1789	1710	1548	1703	1122	1787	1123	771	928	905	1071	665	857	1105	547	708
S100B	2	6	4	0	1	1	1	3	0	3	3	5	9	4	7	9	5	2
PRMT2	2260	1616	1870	1770	1381	1787	2323	1939	1105	1183	1381	1506	1904	1186	1364	1815	819	1074
CLDND2	5	2	1	4	2	3	5	2	2	2	3	8	7	1	6	6	2	3
ZNF208	1	0	1	0	0	0	0	0	0	4	6	5	6	4	7	6	1	6
ADAMTS13	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0
CACFD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
SLC2A6	1	0	0	0	0	20	1	0	0	0	0	0	0	0	1	0	0	1
ZNF761	244	191	251	226	207	243	240	253	148	321	385	340	475	259	369	465	192	245
FCN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIERCE1	59	45	45	32	49	50	78	47	34	62	52	51	76	49	44	87	38	38
LCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF714	1681	1092	1378	1163	998	1396	673	1300	780	341	426	439	531	312	430	538	211	285
GPSM1	1835	1197	1398	1478	1272	1421	1548	1463	930	1920	2010	2281	2651	1693	1969	2732	1253	1789
C19orf47	315	200	255	270	226	274	236	268	176	290	255	331	423	277	270	331	172	245
HIPK4	2	0	0	2	0	1	1	4	0	10	5	11	10	3	8	6	10	17
CFAP157	2	1	1	0	1	2	0	2	0	10	7	11	10	9	5	7	2	5
TOR2A	244	176	194	172	138	168	209	172	113	126	129	154	207	119	152	211	87	115
ST6GALNAC6	3	4	9	9	7	11	6	8	6	16	13	9	8	7	13	13	4	8
SHKBP1	1049	710	812	813	745	892	1082	883	596	760	837	864	1121	776	846	1138	508	682
RDH13	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1
ZER1	988	750	763	744	672	722	839	810	553	1079	1199	1208	1362	939	1019	1307	659	928
ZDHHC12	605	431	534	472	429	483	719	506	322	188	212	236	322	214	239	306	134	176
PKN3	923	625	751	711	618	733	881	745	530	177	212	188	318	242	225	329	126	151
SPTBN4	57	36	47	28	33	38	50	43	19	657	792	877	1013	611	793	1050	488	612
BRSK1	219	169	171	157	178	201	199	196	139	1606	1964	2077	2383	1733	1780	2443	1147	1660
COX6B2	35	25	26	25	33	24	33	30	24	10	5	12	26	12	18	23	9	13
TMEM190	11	1	11	2	3	2	7	4	4	1	0	0	0	0	1	1	0	0
NLRP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLPP7	3	2	2	1	4	2	2	1	2	172	208	205	219	143	177	231	110	148
TAOK1	2329	1537	1906	1740	1550	2020	1116	1935	1204	1606	2048	1838	2360	1493	1921	2416	1062	1379
MED27	537	348	417	430	388	439	663	478	280	219	296	310	373	286	291	445	185	253
DEDD2	252	154	203	187	162	196	250	199	123	208	300	289	349	282	286	323	161	214
SIK3	792	522	659	641	550	615	466	645	442	866	943	989	1096	787	855	1091	516	693
MPZL3	0	0	0	3	1	3	2	1	1	13	15	22	20	10	12	11	7	13
JAML	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK8	168	110	112	148	126	129	174	127	67	86	81	107	124	95	96	123	55	80
TLCD1	122	102	100	106	73	111	180	109	65	47	51	54	96	66	67	69	35	62
PCSK7	1246	900	950	972	884	1002	889	945	608	1417	1555	1593	2215	1334	1581	2077	947	1304
SAFB	1783	1135	1410	1197	1172	1313	1466	1385	910	1424	1515	1688	2327	1472	1650	2069	1009	1322
CD3G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
S100A1	81	36	57	50	54	61	101	59	36	0	0	0	0	1	0	0	0	0
CHTOP	1328	848	1024	991	908	1005	1088	1044	583	1595	1922	1922	2463	1577	1840	2426	1153	1409
CXCR5	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0
ZBTB7B	229	150	180	152	139	172	185	170	96	548	567	654	848	531	597	753	350	514
FLAD1	546	382	419	465	412	470	572	488	280	564	666	681	902	588	657	951	414	506
SHC1	4308	3016	3487	3222	3128	3527	3224	3629	2352	5364	5490	6209	7977	5025	5687	7827	3519	4510
VPS11	3	2	1	0	1	1	1	0	0	1	0	2	0	0	0	1	1	0
NLRX1	388	301	291	311	263	266	278	270	182	254	268	295	359	239	229	371	167	238
ADAR	5117	3496	4260	6553	6092	7057	3830	5403	3516	11142	12443	12565	14163	9140	10897	15003	6679	8789
IL6R	93	66	78	86	71	87	52	80	44	18	12	14	36	29	26	43	16	20
UBE2Q1	875	582	752	685	591	796	897	833	528	2385	2780	2786	3448	2260	2537	3230	1514	2064
CHRNB2	1	0	2	5	1	3	12	2	3	1651	1761	2040	2467	1608	1649	2183	1119	1469
CRTC2	576	405	513	487	461	539	545	543	352	1148	1358	1457	1845	1154	1343	1862	763	1098
ANO10	683	401	489	494	430	476	555	527	366	311	305	303	403	281	298	382	196	224
FDPS	3014	2287	2513	2443	2307	2655	4003	2846	1683	1256	1520	1445	2215	1352	1614	2089	864	1126
RUSC1	552	353	477	417	398	432	510	502	306	2673	2933	3203	3756	2282	2588	3461	1607	2224
GBAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTREP3	7	1	1	2	0	0	0	0	1	3	4	5	1	24	1	2	1	0
PAQR6	21	12	14	17	9	9	15	7	3	387	425	482	595	311	490	628	289	366
PMF1	347	209	271	246	211	266	459	283	157	179	214	222	281	178	210	266	116	153
SLC25A44	748	497	573	582	536	625	548	634	402	1385	1640	1675	2128	1326	1536	1912	967	1195
LMNA	6241	4261	5115	4689	4303	5272	6970	5322	3573	2410	2719	2740	3607	2405	2668	3449	1632	2065
CCR5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBEAL2	1025	637	780	803	719	731	616	728	543	646	682	831	1138	521	818	1162	478	624
CCDC12	276	223	264	234	259	284	440	302	175	188	248	238	317	230	209	296	159	154
PTH1R	44	24	35	46	36	33	49	33	17	19	24	31	41	29	32	34	15	15
UBQLN4	1021	691	787	785	720	890	821	806	564	1896	2082	2165	2862	1948	2045	2739	1235	1637
MYL3	7	4	4	6	5	8	14	7	4	15	11	15	27	6	11	16	8	12
PPP1R35	243	179	199	244	199	236	360	221	149	450	547	590	705	505	562	816	365	486
GPATCH4	13	41	6	15	56	15	16	48	14	18	17	22	227	184	121	183	11	110
LRRC71	0	0	1	0	0	3	1	1	2	5	5	5	22	6	11	10	3	6
FCRL3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZGP1	14	9	9	4	6	8	9	6	4	1	0	3	1	1	0	0	0	1
FGFR4	1054	727	791	811	693	745	868	811	507	162	191	210	258	157	173	282	103	182
CYP3A4	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	1	1	0
CYP3A7	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1
NACC1	2163	1451	1669	1589	1406	1719	1603	1702	1263	1082	1133	1204	1691	1100	1253	1672	775	976
CYP11B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HK3	1	0	0	0	0	0	0	0	0	6	4	4	5	5	4	11	6	7
LY6K	1548	929	1136	1176	1091	1162	1620	1159	769	0	0	0	0	0	0	0	0	1
IER2	385	278	316	310	241	308	359	320	202	1148	1305	1409	1745	1174	1307	1633	785	1174
ZNF394	303	250	267	236	240	284	351	290	209	508	555	572	719	450	526	647	345	444
CPSF4	1258	891	1050	983	939	994	1194	1049	654	1008	1229	1318	1730	1075	1296	1672	778	1000
LY6E	83	102	45	136	878	117	1109	697	56	133	44	45	41	132	47	46	35	45
VPS28	84	22	69	45	14	23	34	32	9	147	36	44	45	160	165	40	36	30
TONSL	1635	1102	1202	1302	1093	1136	1283	1176	858	276	333	339	556	294	364	480	203	284
PTGER1	1	1	1	0	0	0	0	0	0	41	37	37	41	46	46	73	25	49
PWWP3A	2415	1609	1978	1860	1667	1756	1802	1831	1075	1907	2081	2293	2665	1553	2076	2579	1317	1647
RECQL4	2374	1640	1951	2054	1747	1879	2675	1902	1344	614	756	790	1146	698	837	1190	483	726
LRRC14	1224	864	993	970	863	903	1073	1013	651	527	558	652	710	511	587	783	353	569
ZNF333	124	87	83	90	92	108	78	101	60	549	582	664	840	498	619	780	365	479
COL26A1	16	6	5	4	3	4	10	3	5	414	460	433	466	335	347	414	208	303
PPP1R16A	621	439	507	499	446	483	613	549	309	735	824	960	1260	774	960	1260	536	785
FOXH1	4	5	4	2	1	4	10	3	1	5	5	6	12	5	10	9	3	2
ORAI2	964	659	714	684	584	658	763	699	497	2692	2976	3177	3884	2459	2776	3653	1762	2382
ALKBH4	263	197	212	201	171	216	275	206	112	295	380	347	454	360	357	435	251	280
CCDC105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2B2	58	40	48	39	40	45	62	46	34	321	353	391	400	310	361	461	246	390
MRNIP	91	40	46	48	36	46	33	27	36	16	43	26	112	42	62	21	12	37
SQSTM1	54	47	266	67	534	312	77	347	539	453	125	471	187	162	135	451	69	114
MGAT4B	6	4	7	6	4	6	12	3	2	5	7	6	7	19	5	11	2	4
RPL8	19181	13479	15623	15048	13679	16752	27288	17291	10279	11866	14188	14514	17523	12490	13042	17282	7963	10489
MAML1	18	12	64	18	14	14	10	22	12	22	18	20	19	23	27	28	9	11
PGLYRP2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LRWD1	630	439	554	461	398	478	696	511	353	995	1161	1191	1446	1079	1105	1531	719	892
FBXL13	4	3	4	5	2	4	2	4	2	41	35	33	46	33	43	34	17	30
NAPEPLD	4	1	1	2	4	2	2	0	2	8	7	26	6	6	5	10	3	9
SCGB3A1	1	0	0	0	0	0	0	0	0	0	1	1	2	1	1	3	0	0
PSMC2	1505	958	1194	1055	991	1159	1562	1368	744	1107	1402	1408	2001	1262	1486	1913	855	1092
CELF5	11	5	10	8	4	1	8	7	2	817	932	1045	1187	741	887	1222	569	739
MFSD12	2784	1849	2075	2282	1952	2124	2564	2112	1296	796	839	911	1245	780	931	1243	515	738
POM121L15P	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODHLP	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0
USP41	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0
YDJC	601	390	455	476	432	520	794	474	292	209	204	263	322	253	265	331	142	192
CCDC116	12	9	10	9	6	9	12	9	5	13	21	13	21	6	3	15	8	15
DVL3	3313	2325	2644	2613	2305	2606	2208	2681	1827	3118	3676	3872	4614	3038	3252	4505	2187	2785
AP2M1	11044	7736	9046	8412	7402	9178	11838	9329	5963	3553	4007	4249	5329	3495	3842	5097	2293	2921
ABCF3	1155	804	893	934	831	912	1041	964	585	587	714	756	986	652	632	986	475	654
PCYT1A	1109	721	870	827	813	866	890	903	550	842	1100	1077	1315	749	973	1283	575	706
FBXO27	9	9	8	5	18	18	19	13	10	188	236	240	286	188	206	309	152	192
DMKN	276	178	199	219	198	233	277	216	124	0	0	0	0	0	0	0	0	0
U2AF1L4	64	53	50	45	36	42	57	29	21	68	83	79	104	65	69	105	52	58
BDH1	10	6	10	5	7	7	6	6	16	3	6	5	11	11	3	19	7	6
NPHS1	0	2	0	1	1	0	0	1	0	1	0	2	6	5	3	2	1	1
THAP8	94	54	72	73	53	91	119	83	80	127	129	142	182	119	148	151	63	97
COX7A1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ZNF382	167	108	141	146	120	140	87	141	89	489	589	583	721	437	558	691	340	411
LRRC56	3	0	1	0	0	12	1	3	0	14	21	16	13	13	6	25	19	15
PLXDC1	17	20	26	15	12	19	21	17	10	20	25	20	19	17	15	21	10	20
PGAP3	228	176	153	192	157	156	210	188	90	187	222	213	247	181	227	282	128	160
IKZF3	6	4	0	3	1	3	1	3	0	0	2	1	0	1	1	1	1	0
GRIN2C	1	3	4	4	5	0	3	5	0	53	77	52	51	55	33	47	31	47
FDXR	964	700	779	658	559	664	1099	764	477	377	429	423	580	358	391	532	258	344
SAP30BP	1891	1305	1629	1457	1306	1585	2092	1547	911	1072	1330	1358	1803	1210	1271	1738	771	1041
ACOX1	1069	706	866	816	695	829	801	935	519	821	998	988	1192	766	1002	1204	554	674
PRPSAP1	1465	1086	1147	1215	1091	1224	1383	1230	780	1087	1194	1226	1328	899	1036	1299	657	864
CYGB	207	134	160	178	145	158	218	171	129	493	538	645	696	497	506	629	315	427
SRSF2	5741	3920	4869	4322	3794	4244	4553	4461	2858	3637	4437	4346	5860	4014	4567	5827	2664	3334
ZNF577	100	73	73	71	78	66	67	90	69	128	180	163	178	96	157	202	76	116
TMEM143	72	50	61	58	41	45	70	54	37	141	151	148	187	106	136	194	105	152
KLHL10	5	0	2	2	2	1	1	6	3	0	1	0	1	0	0	1	0	0
KASH5	3	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HCRT	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0
ALDH16A1	699	499	591	555	478	595	772	570	373	263	290	260	397	252	296	412	178	230
DCD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA5	2047	1376	1629	1900	1817	1847	1636	1637	1092	64	50	53	224	164	149	203	73	108
SIGLEC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF385A	364	249	268	247	251	260	290	278	229	228	246	240	307	204	226	278	165	186
SIGLEC16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP3	792	509	540	595	552	617	570	566	379	277	328	320	420	247	262	417	169	252
CD300LG	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IZUMO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGS	98	68	75	81	75	77	83	75	46	18	13	22	40	21	25	27	11	21
LSM12	563	414	455	478	400	500	474	554	341	162	190	225	292	200	232	274	112	165
ASB16	3	3	1	2	1	4	2	7	4	3	4	4	4	0	3	2	2	5
EMC10	517	340	404	386	339	413	567	397	251	2366	2739	2925	3562	2279	2529	3438	1564	2143
JOSD2	154	103	147	141	104	137	248	150	97	183	185	231	283	205	180	236	111	173
SHANK1	14	11	7	10	7	11	8	14	4	1259	1470	1717	2163	1110	1562	2276	1064	1382
FAM171A2	377	250	330	323	245	284	384	308	199	464	547	620	648	442	588	789	398	537
DBF4B	1170	871	1008	912	915	960	854	917	638	213	257	285	376	231	285	366	149	232
PLCD3	939	612	758	658	618	739	795	736	534	354	340	382	369	296	338	421	189	267
FMNL3	887	650	741	717	633	728	572	676	516	438	498	520	877	533	655	734	360	466
AQP5	0	0	0	0	0	0	1	0	0	5	6	4	8	4	3	5	2	5
RACGAP1	3055	2084	2454	1920	1934	2333	2267	2536	1610	816	1018	952	1337	926	1004	1228	555	733
OR7G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LARP4	2272	1439	1797	1678	1504	1880	1332	1810	1065	970	1120	1030	1503	994	1162	1423	664	806
TAMALIN	74	51	51	47	36	58	90	61	43	73	101	92	92	69	99	109	56	72
RAVER1	857	543	606	610	585	638	379	662	449	521	486	546	754	529	502	671	365	484
KRT84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYCE2	29	13	31	19	13	17	30	19	12	10	21	19	26	14	13	27	8	5
SPC24	740	507	620	533	471	614	902	585	346	155	134	169	278	148	185	251	111	147
IP6K3	68	60	49	48	33	33	47	49	33	11	8	15	14	12	14	21	6	10
LEMD2	1384	947	1072	1142	936	1074	1267	1067	702	1043	1241	1381	1833	1125	1341	1794	892	1167
ALOX15	0	0	1	0	0	0	1	1	2	1	1	2	6	2	1	2	1	0
TREML1	3	2	1	2	1	2	3	4	2	0	0	0	0	0	0	0	0	0
ADCY10P1	2	1	1	0	1	2	1	0	2	22	20	16	21	14	11	14	14	10
ZNF653	40	28	18	26	20	24	37	23	27	107	119	138	157	109	130	169	78	118
MED11	215	128	145	138	146	162	256	200	90	92	96	102	151	93	106	145	52	82
CXCL16	74	84	73	101	113	101	100	102	62	20	27	21	40	32	42	41	18	19
SCIMP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RNASEK-C17orf49	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
BCL6B	2	1	3	0	2	1	4	1	0	3	0	10	14	8	6	11	2	2
ASGR2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
TNFSF13	5	1	4	1	2	1	16	3	3	11	17	20	20	6	15	21	8	15
SENP3	756	507	582	554	526	637	686	614	408	380	377	424	559	347	404	533	241	333
FGF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4A1	268	168	215	180	185	233	153	222	132	143	197	209	296	138	199	285	126	170
RPL26	908	618	766	712	557	744	1119	787	450	453	539	526	668	497	587	702	381	361
CCDC42	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
POLR3K	379	238	317	274	239	339	481	299	200	136	160	200	242	176	177	246	95	152
SNRNP25	845	602	685	639	521	652	1191	688	441	232	262	270	353	260	229	350	148	201
PRR35	4	1	2	4	1	0	6	2	2	2	4	2	5	3	4	4	3	1
WDR90	1422	960	1138	1155	946	915	989	1024	745	730	872	1028	1558	749	1116	1562	665	925
JMJD8	1151	720	812	896	767	874	1170	896	556	577	669	657	856	587	651	813	396	572
CCDC78	46	32	39	44	25	42	62	34	24	185	173	196	256	126	186	309	117	148
MSLNL	2	3	1	4	2	1	2	3	2	0	1	0	0	1	0	0	0	0
SSTR5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPSB3	567	357	401	432	388	460	651	436	260	545	660	675	814	548	568	834	382	507
MEIOB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HS3ST6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEDC2	502	325	404	443	399	416	595	438	272	243	255	306	431	233	281	424	182	237
CCNF	1378	1013	1116	950	902	961	1037	1094	724	263	304	374	521	367	354	450	229	311
